date,version,count
2026-08-04,JFAA,0
2026-08-04,KJA,0
2026-08-04,KJF,0
2026-08-04,MENS,0
2026-08-04,NAA,0
2026-08-04,NBV,0
2026-08-04,NTLH,0
2026-08-04,NVI,0
2026-08-04,NVT,0
2026-08-04,OL,0
2026-08-04,TB,0
2026-08-04,VFL,0
2026-08-05,ACF,0
2026-08-05,ALM1911,0
2026-08-05,ARA,0
2026-08-05,ARC,0
2026-08-05,AS21,0
2026-08-05,BLIVRE,0
2026-08-05,JFAA,0
2026-08-05,KJA,0
2026-08-05,KJF,0
2026-08-05,MENS,0
2026-08-05,NAA,0
2026-08-05,NBV,0
2026-08-05,NTLH,0
2026-08-05,NVI,0
2026-08-05,NVT,0
2026-08-05,OL,0
2026-08-05,TB,0
2026-08-05,VFL,0
2026-08-06,ACF,0
2026-08-06,ALM1911,0
2026-08-06,ARA,0
2026-08-06,ARC,0
2026-08-06,AS21,0
2026-08-06,BLIVRE,0
2026-08-06,JFAA,0
2026-08-06,KJA,0
2026-08-06,KJF,0
2026-08-06,MENS,0
2026-08-06,NAA,0
2026-08-06,NBV,0
2026-08-06,NTLH,0
2026-08-06,NVI,0
2026-08-06,NVT,0
2026-08-06,OL,0
2026-08-06,TB,0
2026-08-06,VFL,0
2026-08-07,ACF,0
2026-08-07,ALM1911,0
2026-08-07,ARA,0
2026-08-07,ARC,0
2026-08-07,AS21,0
2026-08-07,BLIVRE,0
2026-08-07,JFAA,0
2026-08-07,KJA,0
2026-08-07,KJF,0
2026-08-07,MENS,0
2026-08-07,NAA,0
2026-08-07,NBV,0
2026-08-07,NTLH,0
2026-08-07,NVI,0
2026-08-07,NVT,0
2026-08-07,OL,0
2026-08-07,TB,0
2026-08-07,VFL,0
2026-08-08,ACF,0
2026-08-08,ALM1911,0
2026-08-08,ARA,0
2026-08-08,ARC,0
2026-08-08,AS21,0
2026-08-08,BLIVRE,0
2026-08-08,JFAA,0
2026-08-08,KJA,0
2026-08-08,KJF,0
2026-08-08,MENS,0
2026-08-08,NAA,0
2026-08-08,NBV,0
2026-08-08,NTLH,0
2026-08-08,NVI,0
2026-08-08,NVT,0
2026-08-08,OL,0
2026-08-08,TB,0
2026-08-08,VFL,0
2026-08-09,ACF,0
2026-08-09,ALM1911,0
2026-08-09,ARA,0
2026-08-09,ARC,0
2026-08-09,AS21,0
2026-08-09,BLIVRE,0
2026-08-09,JFAA,0
2026-08-09,KJA,0
2026-08-09,KJF,0
2026-08-09,MENS,0
2026-08-09,NAA,0
2026-08-09,NBV,0
2026-08-09,NTLH,0
2026-08-09,NVI,0
2026-08-09,NVT,0
2026-08-09,OL,0
2026-08-09,TB,0
2026-08-09,VFL,0
2026-08-10,ACF,0
2026-08-10,ALM1911,0
2026-08-10,ARA,0
2026-08-10,ARC,0
2026-08-10,AS21,0
2026-08-10,BLIVRE,0
2026-08-10,JFAA,0
2026-08-10,KJA,0
2026-08-10,KJF,0
2026-08-10,MENS,0
2026-08-10,NAA,0
2026-08-10,NBV,0
2026-08-10,NTLH,0
2026-08-10,NVI,0
2026-08-10,NVT,0
2026-08-10,OL,0
2026-08-10,TB,0
2026-08-10,VFL,0
2026-08-11,ACF,0
2026-08-11,ALM1911,0
2026-08-11,ARA,0
2026-08-11,ARC,0
2026-08-11,AS21,0
2026-08-11,BLIVRE,0
2026-08-11,JFAA,0
2026-08-11,KJA,0
2026-08-11,KJF,0
2026-08-11,MENS,0
2026-08-11,NAA,0
2026-08-11,NBV,0
2026-08-11,NTLH,0
2026-08-11,NVI,0
2026-08-11,NVT,0
2026-08-11,OL,0
2026-08-11,TB,0
2026-08-11,VFL,0
2026-08-12,ACF,0
2026-08-12,ALM1911,0
2026-08-12,ARA,0
2026-08-12,ARC,0
2026-08-12,AS21,0
2026-08-12,BLIVRE,0
2026-08-12,JFAA,0
2026-08-12,KJA,0
2026-08-12,KJF,0
2026-08-12,MENS,0
2026-08-12,NAA,0
2026-08-12,NBV,0
2026-08-12,NTLH,0
2026-08-12,NVI,0
2026-08-12,NVT,0
2026-08-12,OL,0
2026-08-12,TB,0
2026-08-12,VFL,0
2026-08-13,ACF,0
2026-08-13,ALM1911,0
2026-08-13,ARA,0
2026-08-13,ARC,0
2026-08-13,AS21,0
2026-08-13,BLIVRE,0
2026-08-13,JFAA,0
2026-08-13,KJA,0
2026-08-13,KJF,0
2026-08-13,MENS,0
2026-08-13,NAA,0
2026-08-13,NBV,0
2026-08-13,NTLH,0
2026-08-13,NVI,0
2026-08-13,NVT,0
